parcel number,address,year_built,sqft_living,bedrooms,bathrooms,grade,condition,sqft_lot,zipcode,floors,month_sold,comparative_sf,waterfront,renovated,basement,view,lat,long,actual,
149830-1265,1912 16TH AVE S 98144,1915,2730,5,4,7,4,6000,98144,2,6,2,0,1,1,1,47.585949,-122.311684,600000,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1498301265
154110-0115,3220 24TH AVE S 98144,1924,2170,3,2,6,3,3680,98144,2,6,2,0,1,1,1,47.5744,-122.30137,374000,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1541100115
062605-9372,20303 100TH AVE NE 98011,2015,3290,5,2.75,9,3,10016,98011,2,6,2,0,0,1,0,47.7753,-122.20739,889900,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0626059372
885400-0280,9415 VALHALLA WAY 98011,1963,1950,3,1.75,8,3,10271,98011,2,6,2,0,0,0,0,47.74687,-122.21522,511364,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=8854000280
676270-0480,1108 10TH AVE E 98102,1909,2900,4,1.5,9,4,2922,98102,2,6,2,0,0,1,0,47.62897,-122.31989,900000,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=6762700480
294600-2185,20401 10TH AVE S 98198,1960,1840,4,2,7,4,9775,98198,2,6,2,0,0,0,0,47.41968,-122.32217,280000,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2946002185
408380-1080,4811 MERIDIAN AVE N 98103,1906,1310,2,1,7,3,2500,98103,2,6,2,0,1,1,0,47.664,-122.33392,592500,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=4083801080
390230-0110,11731 NE 102ND PL 98033,1980,2380,4,2.25,8,4,9000,98033,2,6,2,0,0,0,0,47.69219,-122.18389,665000,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3902300110
108120-0460,14700 167TH PL SE 98059,1968,1460,3,1.75,7,4,11180,98059,2,6,2,0,0,0,0,47.47029,-122.11673,389000,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=1081200460
165660-0050,16037 SE 127TH PL 98059,1997,2660,4,2.5,9,3,16562,98059,2,6,2,0,0,0,0,47.48868,-122.12528,655000,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1656600050
156080-0260,15207 NE 7TH PL 98007,1962,2090,4,2.75,7,4,7971,98007,2,6,2,0,0,1,0,47.6162,-122.13692,600000,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1560800260
737460-0650,15015 SE 20TH ST 98007,1961,1450,3,1.5,7,5,8370,98007,1,6,2,0,0,0,0,47.59247,-122.13928,575000,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=7374600650
