sqft_living,sqft_lot,floors,bedrooms,bathrooms,zipcode,month_sold,condition,grade,comparative_sf,comparative_lot,year_built,lat,long,waterfront,renovated,basement,actual,address,parcel number,
1370,6180,1,3,1.5,98002,6,4,7,2,2,1958,47.30265,-122.21784,0,0,0,225000,815 6TH ST SE 98002,711600-0500,
3660,11633,2,6,3,98092,6,3,9,2,2,1999,47.2909,-122.17994,0,0,0,485000,2030 NOBLE CT SE 98092,885816-0050,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=8858160050
2730,6000,2,5,4,98144,6,4,7,2,2,1915,47.58595,-122.31168,0,1,1,600000,1912 16TH AVE S 98144,149830-1265,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1498301265
940,5250,2,2,1,98144,6,4,6,2,2,1932,47.58284,-122.31693,0,1,0,358900,2301 BEACON AVE S 98144,539360-0360,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=5393600360
2030,8540,2,3,2.5,98011,6,3,7,2,2,1977,47.77553,-122.21097,0,0,0,410000,20318 97TH AVE NE 98011,280690-0050,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2806900050
3180,4250,2,3,1.75,98112,6,3,8,2,2,1920,47.63654,-122.30121,0,1,1,655000,1844 24TH AVE E 98112,871210-0765,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=8712100765
1680,2500,2,3,2.5,98112,6,3,8,2,2,1990,47.62418,-122.29843,0,0,0,665000,452 26TH AVE E 98112,501600-1580,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=5016001580
1790,8050,1,4,1.25,98007,6,4,7,2,2,1956,47.60173,-122.1341,0,0,0,575000,15419 SE 9TH ST 98007,220720-0700,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2207200700
3260,13941,2,5,2.75,98007,6,3,9,2,2,2015,47.62318,-122.14456,0,0,0,979000,14736 NE 15TH CT 98007,,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2725059338
3450,6719,2,5,2.75,98059,6,3,9,2,2,2015,47.4778,-122.108,0,0,0,699950,13931 174TH TER SE 98059,325960-0610,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3259600610
1460,11180,1,3,1.75,98059,6,4,7,2,2,1968,47.47029,-122.11673,0,0,1,389000,14700 167TH PL SE 98059,108120-0460,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1081200460
